date,Purchase,Sale,Total
2026-02-23,85,82,167
2026-02-24,3,4,7
2026-02-25,1,0,1
2026-02-26,42,76,118
2026-02-28,3,9,12
2026-03-01,2,0,2
2026-03-02,172,2,174
2026-03-03,19,0,19
2026-03-04,230,12,242
2026-03-05,9,2,11
2026-03-06,3,41,44
2026-03-08,0,1,1
2026-03-09,15,1,16
2026-03-10,33,0,33
2026-03-11,124,1,125
2026-03-12,117,0,117
2026-03-13,21,0,21
2026-03-14,0,1,1
2026-03-15,0,2,2
2026-03-16,15,7,22
2026-03-17,251,95,346
2026-03-18,80,119,199
2026-03-19,2,1,3
2026-03-21,34,0,34
2026-03-23,283,17,300
2026-03-24,6,3,9
2026-03-25,93,0,93
2026-03-26,91,86,177
2026-03-27,9,63,72
2026-03-28,8,10,18
2026-03-30,110,157,267
2026-03-31,1,0,1
2026-04-01,0,1,1
2026-04-06,0,1,1
2026-04-07,29,65,94
2026-04-08,1,2,3
2026-04-09,4,19,23
2026-04-10,76,105,181
2026-04-13,15,0,15
2026-04-14,1,2,3
2026-04-15,132,0,132
2026-04-16,1,0,1
2026-04-17,113,96,209
2026-04-20,23,57,80
2026-04-23,3,0,3
2026-04-27,206,145,351
2026-04-28,52,70,122
2026-04-30,65,91,156
2026-05-05,22,12,34
2026-05-06,1,1,2
2026-05-08,1,0,1
2026-05-11,76,87,163
2026-05-12,3,5,8
2026-05-13,2,1,3
2026-05-14,1,30,31
2026-05-15,123,251,374
2026-05-18,122,240,362
2026-05-19,8,6,14
2026-05-20,10,3,13
2026-05-21,12,10,22
2026-05-22,48,66,114
2026-05-26,0,1,1
2026-05-28,2,1,3
2026-05-29,4,1,5
